,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,12.84
40,Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,12.66
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,12.63
42,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,12.61
43,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,12.13
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,12.12
45,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,11.89
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.34,2.71,3.96,11.77
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,11.68
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,11.66
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,11.35
50,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,11.18
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,11.01
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,10.95
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,10.81
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,10.7
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,10.6
56,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,10.55
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,10.5
58,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,10.49
59,Super Mario 64,DS,2004,Platform,Nintendo,5.01,3.07,1.25,10.3
60,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,10.25
61,Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,10.12
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,9.9
63,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,9.87
64,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,9.86
65,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,9.72
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,9.71
67,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,9.49
68,Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,9.44
69,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,9.36
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,9.31
71,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,9.3
72,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.7,2.65,0.02,9.18
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,9.16
74,Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,8.91
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,8.79
76,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,8.76
77,FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,8.57
78,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,8.49
79,Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,8.38
80,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,8.27
81,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,8.16
82,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,8.09
83,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,8.07
84,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,8.05
85,The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0.0,8.01
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,7.99
87,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,7.98
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,7.86
89,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,7.81
90,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,7.72
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,7.69
92,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,7.66
93,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,7.6
94,FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,7.59
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,7.58
96,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,7.55
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,7.51
98,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,7.46
99,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,7.39
100,Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0.0,7.38
101,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,7.32
102,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,7.2
103,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0.0,7.2
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,7.17
105,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,7.16
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,7.16
107,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,7.15
108,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,7.14
109,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,7.13
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,7.09
111,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,7.07
112,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,6.95
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,6.9
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,6.83
115,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,6.82
116,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,6.76
117,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,6.75
118,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,6.74
119,Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.0,6.71
120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,6.68
121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,6.66
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,6.65
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,6.62
124,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,6.51
125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,6.49
126,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,6.47
127,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,6.45
128,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,6.44
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,6.43
130,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,6.41
131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,6.41
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,6.4
133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,6.39
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,6.34
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,6.32
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,6.31
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,6.3
138,World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0.0,6.29
139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,6.27
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,6.21
141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,6.19
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,6.09
143,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,6.08
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,6.05
145,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,6.03
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,6.03
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,5.99
148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,5.95
149,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,5.87
150,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,5.82
151,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,5.82
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,5.78
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,5.74
154,Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,5.64
155,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.0,5.64
156,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,5.63
157,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,5.58
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,5.55
159,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,5.55
160,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,5.54
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,5.49
162,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,5.49
163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,5.48
164,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,5.48
165,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0.0,5.48
166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,5.47
167,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,5.46
168,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,5.45
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,5.42
170,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0.0,5.39
171,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,5.38
172,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,5.34
173,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,5.33
174,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,5.31
175,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,5.3
176,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,5.29
177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,5.29
178,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,5.27
179,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,5.27
180,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2.03,2.37,0.0,5.26
181,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,5.26
182,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.46,0.2,5.24
184,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.97,2.11,1.9,5.23
185,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.34,1.27,5.22
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,5.21
187,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,5.2
188,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.21,2.43,1.03,5.19
189,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,5.19
190,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,5.16
191,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,5.15
192,Diablo III,PC,2012,Role-Playing,Activision,2.44,2.16,0.0,5.14
193,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,5.13
194,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,5.13
195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,5.12
196,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.0,5.12
197,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,5.1
198,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.63,2.45,0.44,5.09
199,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,5.09
200,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.8,0.95,5.08
201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,5.07
202,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.61,3.28,0.06,5.07
203,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,5.05
204,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,5.03
205,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,5.02
206,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,5.01
207,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,5.0
208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,4.98
209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.05,1.17,0.29,4.98
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,4.93
211,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,4.93
212,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,4.92
213,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,4.91
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,4.88
215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,4.87
216,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,4.87
217,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,4.85
218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.57,1.68,0.0,4.84
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,4.82
220,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,4.8
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,4.79
222,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.83,1.48,0.0,4.76
223,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,4.73
224,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,4.73
225,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,4.71
226,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0.0,4.7
227,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,4.68
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,4.67
229,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,4.63
230,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,4.62
231,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,4.62
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,4.61
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,0.99,0.89,4.6
234,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.0,4.6
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.39,1.11,4.59
236,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,4.57
237,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.87,1.96,0.22,4.53
238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,4.53
239,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,0.91,0.01,4.53
240,Pitfall!,2600,1981,Platform,Activision,4.21,0.24,0.0,4.5
241,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,4.49
242,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,4.48
243,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,4.48
244,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,4.47
245,Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,1.61,2.0,0.15,4.46
246,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,4.45
247,Splatoon,WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,4.43
248,Nintendo Land,WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,4.42
249,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,4.39
251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,4.38
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,4.38
253,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,4.37
254,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,4.36
255,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.56,1.93,0.19,4.36
256,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,4.34
257,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,4.34
258,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,4.33
259,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.09,1.31,0.62,4.33
260,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,4.32
261,Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,4.32
262,Asteroids,2600,1980,Shooter,Atari,4.0,0.26,0.0,4.31
263,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.77,1.11,0.0,4.29
264,FIFA 15,PS3,2014,Sports,Electronic Arts,0.58,3.02,0.04,4.28
265,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,4.27
266,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,4.24
267,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.24,1.31,0.07,4.23
268,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,4.23
269,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.01,0.1,4.22
270,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,4.22
271,FIFA 14,X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,4.22
272,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0.0,4.21
273,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0.0,4.21
274,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,4.21
275,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,4.2
276,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,4.19
277,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,4.19
278,FIFA 12,X360,2011,Sports,Electronic Arts,0.84,2.78,0.02,4.18
279,Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3.38,0.44,0.31,4.17
280,Street Fighter IV,PS3,2009,Fighting,Capcom,2.03,1.04,0.58,4.16
281,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,4.16
282,Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0.0,4.16
283,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,4.14
284,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0.0,0.09,4.12
285,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,4.12
286,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,4.11
